sent_id,token_id,kalimat,head,deprel
train-s8,25,Revolution,24,flat
train-s8,26,"""",23,punct
train-s8,27,.,4,punct
train-s9,1,Maka,2,mark
train-s9,2,dimulailah,0,root
train-s9,3,suatu,4,det
train-s9,4,gerakan,2,nsubj:pass
train-s9,5,yang,6,nsubj
train-s9,6,bertujuan,4,acl
train-s9,7,membentuk,6,ccomp
train-s9,8,kelompok,7,obj
train-s9,9,pendidikan,8,compound
train-s9,10,.,2,punct
train-s10,1,Cikal,6,nsubj:pass
train-s10,2,bakal,1,compound
train-s10,3,Lembaga,1,flat
train-s10,4,Pendidikan,3,flat
train-s10,5,ini,3,det
train-s10,6,dirintis,0,root
train-s10,7,oleh,9,case
train-s10,8,beberapa,9,det
train-s10,9,ulama,6,obl
train-s10,10,terdahulu,9,amod
train-s10,11,di,9,case
train-s10,12,antaranya,9,case
train-s10,13,oleh,15,case
train-s10,14,almarhum,15,amod
train-s10,15,Bapak,9,nmod
train-s10,16,M,15,flat
train-s10,17,.,16,punct
train-s10,18,Basith,16,flat
train-s10,19,yang,23,obj
train-s10,20,kegiatan,23,nsubj
train-s10,21,belajar,20,compound
train-s10,22,mengajarnya,21,acl
train-s10,23,bermula,6,dep
train-s10,24,di,25,case
train-s10,25,Musholla,23,obl
train-s10,26,Taqwa,25,flat
train-s10,27,Muaradua,26,flat
train-s10,28,sejak,30,case
train-s10,29,pengujung,30,amod
train-s10,30,tahun,23,obl
train-s10,31,',30,punct
train-s10,32,70,30,nummod
train-s10,33,-,32,punct
train-s10,34,an,32,det
train-s10,35,.,6,punct
train-s11,1,Demikian,0,root
train-s11,2,juga,1,advmod
train-s11,3,bagi,6,case
train-s11,4,sebagian,6,det
train-s11,5,besar,6,amod
train-s11,6,kalangan,1,nmod
train-s11,7,masyarakat,6,compound
train-s11,8,yang,9,nsubj
train-s11,9,menganggap,6,acl
train-s11,10,bahwa,11,mark
train-s11,11,pemerintahan,9,obj
train-s11,12,di,13,case
train-s11,13,Amerika,11,nmod
train-s11,14,Serikat,13,flat
train-s11,15,terlalu,16,advmod
train-s11,16,birokratis,11,amod
train-s11,17,.,1,punct
train-s12,1,Aliran,3,nsubj
train-s12,2,ini,1,det
train-s12,3,memiliki,0,root
train-s12,4,ajaran,3,obj
train-s12,5,yang,6,det
train-s12,6,bervariasi,4,acl
train-s12,7,mengenai,6,ccomp
train-s12,8,Kristologi,7,obj
train-s12,9,Yesus,8,flat
train-s12,10,:,8,punct
train-s12,11,Doketisme,12,nsubj
train-s12,12,merupakan,8,parataxis
train-s12,13,salah,15,amod
train-s12,14,satu,13,nummod
train-s12,15,aliran,12,obj
train-s12,16,dari,17,case
train-s12,17,Gnostisisme,15,nmod
train-s12,18,yang,19,det
train-s12,19,ada,17,acl
train-s12,20,pada,19,case
train-s12,21,saat,19,obj
train-s12,22,itu,21,det
train-s12,23,.,3,punct
train-s13,1,Santa,5,nsubj
train-s13,2,Fe,1,flat
train-s13,3,adalah,5,cop
train-s13,4,sebuah,5,det
train-s13,5,kotamadya,0,root
train-s13,6,di,7,case
train-s13,7,Vega,5,nmod
train-s13,8,de,7,flat
train-s13,9,Granada,8,flat
train-s13,10,",",7,punct
train-s13,11,Granada,7,appos
train-s13,12,",",11,punct
train-s13,13,Spanyol,11,appos
train-s13,14,",",5,punct
train-s13,15,dialiri,5,parataxis
train-s13,16,oleh,17,case
train-s13,17,Sungai,15,obl
train-s13,18,Genil,17,flat
train-s13,19,.,5,punct
train-s14,1,Kapal,3,nsubj:pass
train-s14,2,ini,1,det
train-s14,3,didesain,0,root
train-s14,4,sebagai,5,case
train-s14,5,kapal,3,obl
train-s14,6,serang,5,acl
train-s14,7,berkecapatan,5,acl
train-s14,8,tinggi,7,amod
train-s14,9,",",3,punct
train-s14,10,untuk,11,case
train-s14,11,mencapai,16,xcomp
train-s14,12,itu,11,obj
train-s14,13,maka,16,mark
train-s14,14,badan,16,nsubj:pass
train-s14,15,kapal,14,compound
train-s14,16,dibuat,3,parataxis
train-s14,17,dari,18,case
train-s14,18,Aluminium,16,obl
train-s14,19,sehingga,16,advmod
train-s14,20,bisa,22,advmod
train-s14,21,lebih,22,advmod
train-s14,22,ringan,19,amod
train-s14,23,selain,24,case
train-s14,24,itu,31,obl
train-s14,25,untuk,26,case
train-s14,26,mencapai,31,xcomp
train-s14,27,kecepatan,26,obj
train-s14,28,tinggi,27,amod
train-s14,29,kapal,31,nsubj:pass
train-s14,30,ini,29,det
train-s14,31,dilengkapi,3,parataxis
train-s14,32,dengan,33,case
train-s14,33,mesin,31,obl
train-s14,34,gas,33,compound
train-s14,35,turbin,34,compound
train-s14,36,General,33,flat
train-s14,37,Electric,36,flat
train-s14,38,LM,37,flat
train-s14,39,1500,38,nummod
train-s14,40,selain,42,case
train-s14,41,2,42,nummod
train-s14,42,buah,33,nmod
train-s14,43,mesin,42,compound
train-s14,44,diesel,43,compound
train-s14,45,untuk,46,case
train-s14,46,kecepatan,42,nmod
train-s14,47,rendah,46,amod
train-s14,48,.,3,punct
train-s15,1,Partai,3,nsubj:pass
train-s15,2,ini,1,det
train-s15,3,didirikan,0,root
train-s15,4,pada,5,case
train-s15,5,bulan,3,obl
train-s15,6,Desember,5,flat
train-s15,7,1945,6,nummod
train-s15,8,di,9,case
train-s15,9,Purwakarta,3,obl
train-s15,10,.,3,punct
train-s16,1,Tidak,2,advmod
train-s16,2,ada,0,root
train-s16,3,keterangan,2,obj
train-s16,4,kejatuhan,3,compound
train-s16,5,Yerusalem,4,flat
train-s16,6,(,7,punct
train-s16,7,berbeda,3,appos
train-s16,8,dengan,9,case
train-s16,9,kota,7,obl
train-s16,10,-,9,punct
train-s16,11,kota,9,compound:plur
train-s16,12,lain,9,amod
train-s16,13,),7,punct
train-s16,14,maupun,17,cc
train-s16,15,gagalnya,17,nsubj
train-s16,16,Sanherib,15,compound
train-s16,17,merebut,2,conj
train-s16,18,Yerusalem,17,obj
train-s16,19,.,2,punct
train-s17,1,Bang,4,nsubj
train-s17,2,Yong,1,flat
train-s17,3,Guk,2,flat
train-s17,4,berkomentar,0,root
train-s17,5,",",4,punct
train-s17,6,"""",12,punct
train-s17,7,Tujuan,12,nsubj
train-s17,8,saya,7,det
train-s17,9,dari,10,case
train-s17,10,awal,7,acl
train-s17,11,tidak,12,advmod
train-s17,12,menjadi,4,parataxis
train-s17,13,penyanyi,12,obj
train-s17,14,K,13,flat
train-s17,15,-,14,punct
train-s17,16,pop,14,flat
train-s17,17,.,4,punct
train-s18,1,Lambda,7,nsubj
train-s18,2,Indonesia,1,flat
train-s18,3,dan,4,cc
train-s18,4,organisasi,1,conj
train-s18,5,sejenis,4,compound
train-s18,6,lainnya,5,amod
train-s18,7,bermunculan,0,root
train-s18,8,pada,10,case
train-s18,9,akhir,10,amod
train-s18,10,tahun,7,obl
train-s18,11,1980,10,nummod
train-s18,12,-,15,punct
train-s18,13,an,11,det
train-s18,14,dan,15,cc
train-s18,15,1990,11,conj
train-s18,16,-,15,punct
train-s18,17,an,15,det
train-s18,18,.,7,punct
train-s19,1,Kota,3,det
train-s19,2,ini,1,det
train-s19,3,letaknya,0,root
train-s19,4,di,5,case
train-s19,5,bagian,3,nmod
train-s19,6,utara,5,amod
train-s19,7,.,3,punct
train-s20,1,Apa,0,root
train-s20,2,yang,4,obj
train-s20,3,ia,4,nsubj
train-s20,4,lakukan,1,acl
train-s20,5,",",7,punct
train-s20,6,dan,7,cc
train-s20,7,mengapa,1,conj
train-s20,8,ia,9,nsubj
train-s20,9,melakukannya,7,acl
train-s20,10,?,1,punct
train-s21,1,Soa,0,root
train-s21,2,Sahertian,1,flat
train-s21,3,",",4,punct
train-s21,4,Soa,1,conj
train-s21,5,Tetelepta,4,flat
train-s21,6,",",7,punct
train-s21,7,Soa,1,conj
train-s21,8,Polnaya,7,flat
train-s21,9,",",10,punct
train-s21,10,Soa,1,conj
train-s21,11,Wattimury,10,flat
train-s21,12,",",13,punct
train-s21,13,Soa,1,conj
train-s21,14,Latuihamallo,13,flat
train-s21,15,",",17,punct
train-s21,16,dan,17,cc
train-s21,17,Soa,1,conj
train-s21,18,Aponno,17,flat
train-s21,19,.,1,punct
train-s22,1,Apakah,0,root
train-s22,2,gelasnya,1,acl
train-s22,3,setengah,4,amod
train-s22,4,kosong,2,amod
train-s22,5,atau,7,cc
train-s22,6,setengah,7,amod
train-s22,7,penuh,4,conj
train-s22,8,?,1,punct
train-s23,1,Itulah,2,det
train-s23,2,sekilas,0,root
train-s23,3,wajah,2,compound
train-s23,4,/,5,punct
train-s23,5,cermin,3,conj
train-s23,6,desa,3,det
train-s23,7,Mundu,6,flat
train-s23,8,.,2,punct
train-s24,1,Bagaimana,5,advmod
train-s24,2,bisa,5,advmod
train-s24,3,kita,5,nsubj
train-s24,4,tidak,5,advmod
train-s24,5,mengungkapkan,0,root
train-s24,6,kesedihan,5,obj
train-s24,7,yang,8,nsubj
train-s24,8,mendalam,6,acl
train-s24,9,akan,8,advmod
train-s24,10,semua,11,det
train-s24,11,hal,8,obj
train-s24,12,ini,11,det
train-s24,13,?,5,punct
train-s25,1,Pdt,4,nsubj
train-s25,2,.,1,punct
train-s25,3,Fecki,1,flat
train-s25,4,merupakan,0,root
train-s25,5,Pemimpin,4,acl
train-s25,6,Umum,5,flat
train-s25,7,/,5,punct
train-s25,8,Redaksi,5,flat
train-s25,9,Renungan,8,flat
train-s25,10,Harian,9,flat
train-s25,11,Anggur,10,flat
train-s25,12,Baru,11,flat
train-s25,13,.,4,punct
train-s25,14,Ia,15,nsubj
train-s25,15,menjabat,4,dep
train-s25,16,sebagai,17,case
train-s25,17,Sekretaris,15,obl
train-s25,18,II,19,nummod
train-s25,19,BPH,17,compound
train-s25,20,Sinode,19,compound
train-s25,21,Gereja,20,compound
train-s25,22,Bethel,21,flat
train-s25,23,Indonesia,22,flat
train-s25,24,untuk,25,case
train-s25,25,periode,17,nmod
train-s25,26,2008,25,nummod
train-s25,27,-,26,punct
train-s25,28,2012,26,nummod
train-s25,29,.,15,punct
train-s26,1,Lelaki,5,nsubj
train-s26,2,dan,3,cc
train-s26,3,Telaga,1,conj
train-s26,4,adalah,5,cop
train-s26,5,album,0,root
train-s26,6,solo,5,amod
train-s26,7,Franky,5,flat
train-s26,8,Sahilatua,7,flat
train-s26,9,yang,10,obl
train-s26,10,berisi,5,acl
train-s26,11,tiga,12,nummod
train-s26,12,lagu,10,obj
train-s26,13,baru,12,amod
train-s26,14,(,16,punct
train-s26,15,"""",16,punct
train-s26,16,Lelaki,12,appos
train-s26,17,dan,18,cc
train-s26,18,Telaga,16,conj
train-s26,19,"""",22,punct
train-s26,20,",",22,punct
train-s26,21,"""",22,punct
train-s26,22,Hitam,16,conj
train-s26,23,Putih,22,flat
train-s26,24,"""",22,punct
train-s26,25,",",28,punct
train-s26,26,dan,28,cc
train-s26,27,"""",28,punct
train-s26,28,Nyanyian,16,conj
train-s26,29,Para,30,det
train-s26,30,Mantan,28,flat
train-s26,31,"""",28,punct
train-s26,32,),16,punct
train-s26,33,dan,36,cc
train-s26,34,sisanya,36,nsubj
train-s26,35,adalah,36,cop
train-s26,36,lagu,10,conj
train-s26,37,-,36,punct
train-s26,38,lagu,36,compound:plur
train-s26,39,yang,40,nsubj:pass
train-s26,40,diambil,36,acl
train-s26,41,dari,42,case
train-s26,42,album,40,obl
train-s26,43,-,49,punct
train-s26,44,album,42,compound:plur
train-s26,45,solo,42,compound
train-s26,46,Franky,45,flat
train-s26,47,sebelumnya,42,amod
train-s26,48,maupun,49,cc
train-s26,49,album,42,conj
train-s26,50,-,49,punct
train-s26,51,album,49,compound:plur
train-s26,52,Franky,49,flat
train-s26,53,&amp;,52,punct
train-s26,54,Jane,53,flat
train-s26,55,.,5,punct
train-s27,1,Hal,4,nsubj:pass
train-s27,2,ini,1,det
train-s27,3,dapat,4,advmod
train-s27,4,disebabkan,0,root
train-s27,5,oleh,6,case
train-s27,6,konsumsi,4,obl
train-s27,7,obat,6,compound
train-s27,8,yang,9,nsubj
train-s27,9,mengandung,6,acl
train-s27,10,kortikosteroid,9,obj
train-s27,11,seperti,12,case
train-s27,12,medroksiprogesteron,10,nmod
train-s27,13,asetat,12,amod
train-s27,14,yang,16,nsubj:pass
train-s27,15,biasa,16,advmod
train-s27,16,digunakan,12,acl
train-s27,17,untuk,19,case
train-s27,18,berbagai,19,det
train-s27,19,pengobatan,16,obl
train-s27,20,penyakit,19,compound
train-s27,21,akut,20,amod
train-s27,22,",",24,punct
train-s27,23,atau,24,cc
train-s27,24,konsumsi,6,conj
train-s27,25,bahan,24,compound
train-s27,26,kontrasepsi,25,compound
train-s27,27,yang,28,nsubj
train-s27,28,mengandung,24,acl
train-s27,29,estrogen,28,obj
train-s27,30,seperti,31,case
train-s27,31,mestranol,29,nmod
train-s27,32,",",34,punct
train-s27,33,atau,34,cc
train-s27,34,menjalani,6,conj
train-s27,35,adrenalektomi,34,obj
train-s27,36,yang,38,nsubj
train-s27,37,biasanya,38,advmod
train-s27,38,mengakibatkan,35,acl
train-s27,39,terjadinya,38,xcomp
train-s27,40,adenoma,39,obj
train-s27,41,pada,42,case
train-s27,42,kelenjar,39,obl
train-s27,43,hipofisis,42,compound
train-s27,44,.,4,punct
train-s28,1,Melingge,3,nsubj
train-s28,2,adalah,3,cop
train-s28,3,gampong,0,root
train-s28,4,di,5,case
train-s28,5,kecamatan,3,nmod
train-s28,6,Pulo,5,flat
train-s28,7,Aceh,6,flat
train-s28,8,",",5,punct
train-s28,9,Kabupaten,5,appos
train-s28,10,Aceh,9,flat
train-s28,11,Besar,10,amod
train-s28,12,",",9,punct
train-s28,13,Aceh,9,appos
train-s28,14,",",13,punct
train-s28,15,Indonesia,13,appos
train-s28,16,.,3,punct
train-s29,1,Penggabungan,4,nsubj
train-s29,2,dari,3,case
train-s29,3,ketiganya,1,nmod
train-s29,4,menghasilkan,0,root
train-s29,5,kembalinya,4,obj
train-s29,6,ke,7,case
train-s29,7,Tao,5,nmod
train-s29,8,.,4,punct
train-s29,9,Dewata,13,nsubj
train-s29,10,Murni,9,flat
train-s29,11,pertama,9,nummod
train-s29,12,adalah,13,cop
train-s29,13,chi,4,dep
train-s29,14,universal,13,amod
train-s29,15,dan,16,cc
train-s29,16,surgawi,14,conj
train-s29,17,.,13,punct
train-s30,1,Widodo,8,nsubj
train-s30,2,Cahyono,1,flat
train-s30,3,Putro,2,flat
train-s30,4,(,1,punct
train-s30,5,),1,punct
train-s30,6,adalah,8,cop
train-s30,7,seorang,8,det
train-s30,8,pelatih,0,root
train-s30,9,dan,10,cc
train-s30,10,pemain,8,conj
train-s30,11,sepak,10,compound
train-s30,12,bola,11,compound
train-s30,13,legendaris,12,compound
train-s30,14,Indonesia,13,flat
train-s30,15,.,8,punct
train-s31,1,Istilah,10,nsubj:pass
train-s31,2,"""",3,punct
train-s31,3,Kecamatan,1,compound
train-s31,4,"""",3,punct
train-s31,5,di,6,case
train-s31,6,provinsi,1,nmod
train-s31,7,Nanggroe,6,flat
train-s31,8,Aceh,6,appos
train-s31,9,Darussalam,8,flat
train-s31,10,disebut,0,root
train-s31,11,juga,10,advmod
train-s31,12,dengan,14,case
train-s31,13,"""",14,punct
train-s31,14,Sagoe,10,obl
train-s31,15,Cut,14,flat
train-s31,16,"""",14,punct
train-s31,17,sedangkan,20,mark
train-s31,18,di,19,case
train-s31,19,Papua,20,obl
train-s31,20,disebut,10,advcl
train-s31,21,dengan,22,case
train-s31,22,istilah,20,obl
train-s31,23,"""",24,punct
train-s31,24,Distrik,22,flat
train-s31,25,"""",24,punct
train-s31,26,.,10,punct
train-s32,1,Wedi,4,nsubj
train-s32,2,adalah,4,cop
train-s32,3,sebuah,4,det
train-s32,4,desa,0,root
train-s32,5,di,6,case
train-s32,6,wilayah,4,nmod
train-s32,7,Kecamatan,6,flat
train-s32,8,Gedangan,7,flat
train-s32,9,",",7,punct
train-s32,10,Kabupaten,7,appos
train-s32,11,Sidoarjo,10,flat
train-s32,12,",",10,punct
train-s32,13,Provinsi,10,appos
train-s32,14,Jawa,13,flat
train-s32,15,Timur,14,amod
train-s32,16,.,4,punct
train-s33,1,Versi,9,nsubj:pass
train-s33,2,remix,1,compound
train-s33,3,Hurt,2,flat
train-s33,4,(,5,punct
train-s33,5,Snowflakes,2,appos
train-s33,6,Remix,5,flat
train-s33,7,),5,punct
train-s33,8,sering,9,advmod
train-s33,9,diputar,0,root
train-s33,10,di,12,case
train-s33,11,berbagai,12,det
train-s33,12,radio,9,obl
train-s33,13,di,14,case
train-s33,14,Inggris,12,nmod
train-s33,15,dan,17,cc
train-s33,16,sangat,17,advmod
train-s33,17,populer,9,conj
train-s33,18,di,19,case
train-s33,19,kalangan,17,nmod
train-s33,20,penggemar,19,compound
train-s33,21,musik,20,compound
train-s33,22,urban,21,compound
train-s33,23,.,9,punct
train-s34,1,Ryan,8,nsubj
train-s34,2,Hidayat,1,flat
train-s34,3,(,1,punct
train-s34,4,),1,punct
train-s34,5,adalah,8,cop
train-s34,6,salah,8,det
train-s34,7,satu,6,fixed
train-s34,8,aktor,0,root
train-s34,9,pria,8,compound
train-s34,10,Indonesia,9,flat
train-s34,11,.,8,punct
train-s35,1,Menurut,8,advcl
train-s35,2,Joseon,1,obj
train-s35,3,Sangosa,2,flat
train-s35,4,",",8,punct
train-s35,5,kehancuran,8,nsubj
train-s35,6,tiga,7,nummod
train-s35,7,Gojoseon,5,flat
train-s35,8,mulai,0,root
train-s35,9,pada,10,case
train-s35,10,tahun,8,obl
train-s35,11,400,10,nummod
train-s35,12,SM,10,flat
train-s35,13,",",21,punct
train-s35,14,ketika,16,mark
train-s35,15,Yan,16,nsubj
train-s35,16,menyerang,8,ccomp
train-s35,17,Gojoseon,16,obj
train-s35,18,",",21,punct
train-s35,19,dan,21,cc
train-s35,20,Gihu,21,nsubj
train-s35,21,menjadi,8,conj
train-s35,22,raja,21,obj
train-s35,23,Beonjoseon,22,flat
train-s35,24,.,8,punct
train-s36,1,Bulan,6,obl
train-s36,2,November,1,flat
train-s36,3,",",1,punct
train-s36,4,pasukan,6,nsubj
train-s36,5,Cakraningrat,4,flat
train-s36,6,merebut,0,root
train-s36,7,Kartasura,6,obj
train-s36,8,kembali,6,advmod
train-s36,9,.,6,punct
train-s37,1,Beberapa,2,det
train-s37,2,bulan,4,nmod
train-s37,3,sebelum,2,case
train-s37,4,Rose,9,obl
train-s37,5,dan,6,cc
train-s37,6,kawan,4,conj
train-s37,7,-,6,punct
train-s37,8,kawan,6,compound:plur
train-s37,9,lulus,15,advcl
train-s37,10,dari,11,case
train-s37,11,akademi,9,obl
train-s37,12,",",9,punct
train-s37,13,mereka,15,nsubj
train-s37,14,wajib,15,advmod
train-s37,15,mengikuti,0,root
train-s37,16,ujian,15,obj
train-s37,17,lapangan,16,compound
train-s37,18,.,15,punct
train-s38,1,SDN,5,nsubj
train-s38,2,004,1,nummod
train-s38,3,Bengkong,1,flat
train-s38,4,",",1,punct
train-s38,5,merupakan,0,root
train-s38,6,salah,8,det
train-s38,7,satu,6,fixed
train-s38,8,Sekolah,5,obj
train-s38,9,Menengah,8,flat
train-s38,10,Dasar,9,flat
train-s38,11,Negeri,10,flat
train-s38,12,yang,13,nsubj
train-s38,13,ada,8,acl
train-s38,14,di,15,case
train-s38,15,Provinsi,13,obl
train-s38,16,Kepulauan,15,flat
train-s38,17,Riau,16,flat
train-s38,18,",",15,punct
train-s38,19,yang,20,nsubj
train-s38,20,beralamat,8,acl
train-s38,21,di,22,case
train-s38,22,Jl,20,obl
train-s38,23,.,22,punct
train-s38,24,Siak,22,flat
train-s38,25,",",22,punct
train-s38,26,Baloi,22,appos
train-s38,27,Harapan,26,flat
train-s38,28,II,27,nummod
train-s38,29,Kecamatan,22,appos
train-s38,30,Bengkong,29,flat
train-s38,31,-,30,punct
train-s38,32,Batam,30,flat
train-s38,33,.,5,punct
train-s39,1,Akankah,4,advmod
train-s39,2,Farah,4,nsubj
train-s39,3,tetap,4,advmod
train-s39,4,bertahan,0,root
train-s39,5,hidup,4,xcomp
train-s39,6,?,4,punct
train-s40,1,Di,2,case
train-s40,2,album,14,obl
train-s40,3,Sgt,2,flat
train-s40,4,.,3,punct
train-s40,5,Pepper's,3,flat
train-s40,6,Lonely,5,flat
train-s40,7,Hearts,6,flat
train-s40,8,Club,7,flat
train-s40,9,Band,8,compound
train-s40,10,",",2,punct
train-s40,11,band,14,nsubj
train-s40,12,ini,11,det
train-s40,13,juga,14,advmod
train-s40,14,menggunakan,0,root
train-s40,15,beragam,16,det
train-s40,16,alat,14,obj
train-s40,17,musik,16,compound
train-s40,18,India,17,flat
train-s40,19,dalam,20,case
train-s40,20,lagu,16,nmod
train-s40,21,',22,punct
train-s40,22,Within,20,appos
train-s40,23,You,22,flat
train-s40,24,Without,23,flat
train-s40,25,You,24,flat
train-s40,26,',22,punct
train-s40,27,",",28,punct
train-s40,28,klarinet,16,conj
train-s40,29,di,31,case
train-s40,30,',31,punct
train-s40,31,When,28,nmod
train-s40,32,I,31,flat
train-s40,33,',34,punct
train-s40,34,m,32,flat
train-s40,35,Sixty,34,flat
train-s40,36,-,35,punct
train-s40,37,Four,35,flat
train-s40,38,',31,punct
train-s40,39,",",40,punct
train-s40,40,alat,16,conj
train-s40,41,musik,40,compound
train-s40,42,gesek,40,acl
train-s40,43,di,45,case
train-s40,44,',45,punct
train-s40,45,She's,40,nmod
train-s40,46,Leaving,45,flat
train-s40,47,Home,46,flat
train-s40,48,',45,punct
train-s40,49,",",50,punct
train-s40,50,harpsicord,16,conj
