sent_id,teks,token_id,token,lemma,upos,xpos,feats,head,deprel,misc,tipe_afiks
train-s384,"Segera setelahnya terjadi 7 tahun masa kemakmuran, yang segera diikuti dengan 7 tahun masa kekeringan yang hebat yang tidak saja melanda Mesir, tetapi juga daerah - daerah di sekitarnya termasuk Kanaan.",9,yang,yang,PRON,S--,{'PronType': 'Rel'},11,nsubj:pass,{'MorphInd': '^yang<s>_S--$'},Tidak Berimbuhan
train-s3654,"Akhirnya pada tanggal 3 Maret 2013 Pasangan Cagub - Cawagub nomor 4 Aher - Demiz ditetapkan menjadi pemenangan Pilgub Jabar dan akan memimpin Jabar selama periode 2013 - 2018, pasangan ini meraih 6.515. 313 suara atau sekitar 32 persen dari suara sah dari 26 Kabupaten / Kota di Jawa Barat.",6,2013,2013,NUM,CC-,{'NumType': 'Card'},5,nummod,{'MorphInd': '^2013<c>_CC-$'},Tidak Berimbuhan
train-s2617,Selebriti (bahasa Inggris: celebrity) atau pesohor ialah orang terkenal lantaran terlalu dekatnya dengan dunia pemberitaan (pers).,13,lantaran,lantaran,SCONJ,S--,_,15,mark,{'MorphInd': '^lantaran<s>_S--$'},Tidak Berimbuhan
train-s4025,"Tumbuh - tumbuhan di permukaan mengalami evolusi sehingga bergantung pada variasi musiman cuaca, dan perubahan tiba - tiba yang hanya berlangsung beberapa tahun dapat memiliki efek dramatis, baik pada tanaman maupun pada hewan yang bergantung pada pertumbuhan untuk makanan mereka.",38,pada,pada,ADP,R--,_,39,case,{'MorphInd': '^pada<r>_R--$'},Tidak Berimbuhan
train-s487,Philipp Haastrup () adalah seorang pemain sepak bola berkewarganegaraan Jerman yang bermain untuk klub Willem II biasa bermain pada posisi gelandang.,19,bermain,bermain,VERB,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",7,advcl,{'MorphInd': '^ber+main<v>_VSA$'},Prefiks
train-s474,"Ia mempertanyakan beberapa fakta janggal seperti mengapa rekaman pengatur penerbangan saat kejadian 9 / 11 dirusak oleh komisioner FAA, mengapa kotak hitam tidak ditemukan dari satupun pesawat, dan juga mempertanyakan tingkat kemahiran pembajak yang menurutnya untuk sekelas pilot berlisensi pesawat perintis sangat mencurigakan dapat mengendalikan pesawat sekelas 747 dengan kecepatan tinggi dan menabrakkannya dalam posisi target yang tidak lebar.",30,dan,dan,CCONJ,H--,_,32,cc,{'MorphInd': '^dan<h>_H--$'},Tidak Berimbuhan
train-s2240,"Kecamatan Petungkriyono secara geografis terletak di bagian selatan wilayah Kabupaten Pekalongan dengan batas: Luas wilayah Kecamatan Petungkriyono 73, 59 km2 atau 8, 80 % dari luas Wilayah Kabupaten Pekalongan, secara administratif terbagi atas 9 desa, 37 dusun, 39 RW dan 90 RT. Sedangkan menurut topografi keseluruhan desa tersebut merupakan desa dataran tinggi atau pegunungan dengan ketinggian 1.294 dpl.",46,dan,dan,CCONJ,H--,_,48,cc,{'MorphInd': '^dan<h>_H--$'},Tidak Berimbuhan
train-s456,"Dalam babak play - off kualifikasi melawan, Nakata mencetak tiga gol yang meloloskan Jepang ke Piala Dunia Perancis 1998.",6,kualifikasi,kualifikasi,NOUN,NSD,{'Number': 'Sing'},2,compound,{'MorphInd': '^kualifikasi<n>_NSD$'},Tidak Berimbuhan
train-s4182,"Pada ikatan kovalen rangkap dua, ditunjukkan oleh garis rangkap dua (=), yang artinya terdapat dua pasangan elektron ikatan, contohnya pada ikatan rangkap dua pada molekul CO2. Atom Na memberikan 1 elektronnya pada atom Cl, sehingga Na bermuatan positif dan Cl bermuatan negatif.",44,bermuatan,bermuatan,NOUN,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",35,advcl,{'MorphInd': '^ber+muat<v>+an_VSA$'},Konfiks
train-s267,"Cova - Lima berbatasan dengan Laut Timor di selatan, distrik Bobonaro dan Ainaro di timur, dan Provinsi Nusa Tenggara Timur",5,dengan,dengan,ADP,R--,_,6,case,{'MorphInd': '^dengan<r>_R--$'},Tidak Berimbuhan
train-s2928,"Hiei dijadikan bulan - bulanan oleh pesawat angkut torpedo TBF Avenger Marinir Amerika Serikat yang berpangkalan di Lanud Henderson, pesawat TBF Avenger dan pesawat pengebom tukik SBD Dauntless dari Enterprise yang berangkat dari Nouméa pada 11 November, dan pesawat - pesawat pengebom B - 17 Flying Fortress dari Unit Bombardemen Berat XI Korps Penerbangan Angkatan Darat Amerika Serikat yang berpangkalan di Espiritu Santo.",52,Bombardemen,bombardemen,PROPN,X--,_,51,flat,{'MorphInd': '^bombardemen<x>_X--$'},Tidak Berimbuhan
train-s2226,"Ia juga mengepung kota Hims, dimana Gubernurnya berkerjasama dengannya waktu itu, namun ia tidak dapat menguasainya, dan kembali ke Mosul, dimana putra Buri dan tawanan lain dari Damaskus ditebus dengan bayaran 50.000 dinar.",3,mengepung,menkepung,VERB,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",0,root,{'MorphInd': '^meN+kepung<v>_VSA$'},Prefiks
train-s447,Kira kira antara Tadase dan Ikuto mana yang Amu pilih?,4,Tadase,tadase,PROPN,X--,_,1,nmod,{'MorphInd': '^tadase<x>_X--$'},Tidak Berimbuhan
train-s2181,"Danau Tiga Warna, merupakan kawasan yang sangat unik juga terdapat di Kepulauan Sunda Kecil, yaitu di Pulau Flores.",2,Tiga,tiga,PROPN,CC-,_,1,flat,{'MorphInd': '^tiga<c>_CC-$'},Tidak Berimbuhan
train-s3338,"Usaha yang telah dirintis pada periode permulaan kepengurusan di tahun lima puluhan, yang kemudian kurang mendapat perhatian, mulai dirintis dengan diadakannya suatu Seminar Pencak Silat oleh Pemerintah pada tahun 1973 di Tugu, Bogor.",9,di,di,ADP,R--,_,10,case,{'MorphInd': '^di<r>_R--$'},Tidak Berimbuhan
train-s3258,"Istilah ""teh"" juga digunakan untuk minuman yang dibuat dari buah, rempah - rempah atau tanaman obat lain yang diseduh, misalnya, teh rosehip, camomile, krisan dan Jiaogulan.",22,diseduh,diseduh,VERB,X--,_,18,acl,"{'SpaceAfter': 'No', 'MorphInd': '^diseduh<x>_X--$'}",Prefiks
train-s3974,"Mesin 1988 secara sederhana dinamakan dengan ""Osella V8"".",1,Mesin,mesin,PROPN,NSD,{'Number': 'Sing'},5,nsubj:pass,{'MorphInd': '^mesin<n>_NSD$'},Tidak Berimbuhan
train-s3285,"Selain itu buku - bukunya adalah Kusni Kasdut (Gramedia, 1981), Politik Kerakyatan saduran dalam bentuk cergam dari The Discourses on Livy (Italian: Discorsi sopra la prima deca di Tito Livio) karya Niccolò Machiavelli (KPG, 1997), buku pegangan wartawan Vademekum Wartawan: Reportase Dasar (KPG, 1997), Matinya Ilmu Ekonomi 1, saduran dalam bentuk cergam dari The Death of Economics karya Paul Ormerod (KPG, 1997), Pesona Bahasa Nusantara Menjelang Abad ke - 21 (KPG, 1999), kumpulan cerpen Tawanan (PBK, 2003), terjemahan Batas Nalar: Rasionalitas dan Perilaku Manusia (KPG, 2004).",91,21,21,NUM,CC-,{'NumType': 'Card'},89,nummod,{'MorphInd': '^21<c>_CC-$'},Tidak Berimbuhan
train-s2163,"Pertukaran Pelajar Rotary adalah sebuah program pertukaran pelajar milik Rotary International yang ditujukan kepada murid - murid SMA. Sejak tahun 1929, Rotary International telah mengirim para pemuda dan pemudi ke berbagai penjuru dunia untuk merasakan hidup di lingkungan dengan budaya baru.",33,berbagai,berbagai,DET,B--,{'PronType': 'Ind'},34,det,{'MorphInd': '^berbagai<b>_B--$'},Tidak Berimbuhan
train-s351,"Temu lawak memiliki efek farmakologi yaitu, hepatoprotektor (mencegah penyakit hati), menurunkan kadar kolesterol, anti inflamasi (anti radang), laxative (pencahar), diuretik (peluruh kencing), dan menghilangkan nyeri sendi.",11,penyakit,pensakit,NOUN,NSD,{'Number': 'Sing'},10,obj,{'MorphInd': '^peN+sakit<n>_NSD$'},Prefiks
train-s3189,"Setelah di China, tim RBR menguasai beberapa balapan lain seperti di Inggris, Jerman, Jepang, Brasil, dan balapan pamungkas di Abu Dhabi.",23,pamungkas,pamungkas,ADJ,X--,_,22,amod,{'MorphInd': '^pamungkas<x>_X--$'},Tidak Berimbuhan
train-s2509,"Bada merupakan salah satu gampong yang ada di Mukim Lamteungoh, kecamatan Ingin Jaya, Kabupaten Aceh Besar, provinsi Aceh, Indonesia.",4,satu,satu,DET,CC-,_,3,det,{'MorphInd': '^satu<c>_CC-$'},Tidak Berimbuhan
train-s2395,"Ilmu sejarah memiliki dosen berdedikasi tinggi dalam sejarah misalnya Prof. PJ Suwarno. SH, Drs. G. Moedjanto, DR FX Baskara Tulus Wardaya, SJ, Drs. H. Purwanta, M. Hum, Dra. Lucia Juningsih, M. Hum. Fakultas Sains dan Teknologi merupakan penggabungan Fakultas Teknik dan Fakultas Matematika Ilmu Pengetahuan Alam. Proses penggabungan tersebut terjadi pada 1 Agustus 2007; tanggal tersebut saat ini merupakan tanggal kelahiran FST. Ide dasar dari penggabungan FT dan FMIPA berasal dari kebutuhan akan sinerginya ilmu - ilmu dasar dengan ilmu - ilmu terapan dalam memenuhi kebutuhan dan pemberdayaan masyarakat atas sains dan teknologi Program Studi Teknik Informatika mempersiapkan mahasiswa untuk menjadi lulusan S1 yang berkompeten.",24,FX,fx,PROPN,X--,_,23,flat,{'MorphInd': '^fx<x>_X--$'},Tidak Berimbuhan
train-s2811,Keju ini merupakan salah satu keju yang populer di Perancis dan diproduksi oleh perusahaan keju yang bernama Fromageries des Chaumes.,16,yang,yang,PRON,S--,{'PronType': 'Rel'},17,obl,{'MorphInd': '^yang<s>_S--$'},Tidak Berimbuhan
train-s2731,"Berkat koneksi dari Constatini, Cakarel berhasil bertemu dengan Peter Becker, presiden Criterion Collection.",1,Berkat,berkat,SCONJ,S--,_,2,mark,{'MorphInd': '^berkat<s>_S--$'},Tidak Berimbuhan
train-s1362,"ECC. Steinmetz; jabatan komisaris pemerintahan dilimpahkan kepada PJB. de Perez, wakil ketua Dewan Hindia - Belanda.",8,dilimpahkan,dilimpahkan,VERB,VSP,"{'Number': 'Sing', 'Voice': 'Pass'}",0,root,{'MorphInd': '^di+limpah<v>+kan_VSP$'},Konfiks
train-s2407,"Ichigo 100 % bisa diartikan sebagai Stroberi 100 % karena semua pemeran utama wanitanya memakai celana dalam stroberi, setidaknya pernah memakainya dan dilihat oleh Manaka.",1,Ichigo,ichigo,PROPN,X--,_,5,nsubj:pass,{'MorphInd': '^ichigo<x>_X--$'},Tidak Berimbuhan
train-s156,"Tahun 1457, ayahnya kembali merebut tahta dan gelarnya sebagai putra mahkota dipulihkan sehari sebelum kematian pamannya di tahun yang sama.",17,pamannya,paman,NOUN,NSD+PS3,"{'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",16,det,{'MorphInd': '^paman<n>_NSD+dia<p>_PS3$'},Tidak Berimbuhan
train-s2211,"Garis ini mengikuti nama biolog Alfred Russel Wallace yang, pada 1858, memperlihatkan bahwa persebaran flora fauna di Sumatera, Kalimantan, Jawa, dan Bali lebih mirip dengan yang ada di daratan Benua Asia. Paparan Sahul adalah lempeng bumi yang bergerak dari Kawasan Australesia (Benua Australia) dan berada di sisi timur Garis Weber.",30,dengan,dengan,ADP,R--,_,29,case,{'MorphInd': '^dengan<r>_R--$'},Tidak Berimbuhan
train-s806,"Pada musim ini, PB Mutiara Bandung membuat kejutan masuk ke semifinal Kejurnas untuk pertama kalinya.",14,untuk,untuk,ADP,R--,_,16,case,{'MorphInd': '^untuk<r>_R--$'},Tidak Berimbuhan
train-s3183,"Teófilo Juan Cubillas Arizaga () merupakan mantan pemain sepak bola berkebangsaan Peru. Dia pernah bermain di klub utamanya seperti Alianza Lima, FC Basel, FC Porto, FL Strikers, South Florida Sun, dan Miami Sharks.",41,.,.,PROPN,Z--,_,17,flat,{'MorphInd': '^.<z>_Z--$'},Tidak Berimbuhan
train-s2635,Lalu bagaimana dampaknya terhadap posisi keuangan PT CPOKU?,8,CPOKU,cpo,PROPN,F--+PS1,"{'Number[psor]': 'Sing', 'Person[psor]': '1'}",7,flat,"{'SpaceAfter': 'No', 'MorphInd': '^cpo<f>_F--+aku<p>_PS1$'}",Tidak Berimbuhan
train-s1264,Peringkat atas kewajiban jangka pendek Moody 'untuk penerbit sekuriti yang dikenai pajak merupakan opini dari kemampuan penerbit untuk mematuhi kewajiban keuangan jangka pendeknya.,4,jangka,jangka,NOUN,NSD,{'Number': 'Sing'},3,compound,{'MorphInd': '^jangka<n>_NSD$'},Tidak Berimbuhan
train-s284,"Khusus untuk Agama Katolik, walaupun penduduk Katolik di Sumatera Barat adalah minoritas, tapi Kabupaten Pesisir Selatan ini masuk dalam Keuskupan Padang Yang menjadi isu pembangunan di Kecamatan Bayang sampai saat ini adalah pembangunan jalan tembus Bayang (Pasar Baru) - Alahan Panjang (Solok / Solok Selatan) dan Kambang (Lengayang) - Muara Labuh (Solok Selatan) yang terkendala oleh keberadaan hutan lindung Taman Nasional Kerinci Seblat (TNKS).",11,Barat,barat,PROPN,NSD,{'Number': 'Sing'},10,amod,{'MorphInd': '^barat<n>_NSD$'},Tidak Berimbuhan
train-s2651,Kucing ini juga telah dikenal mengambil ayam buras dan ternak.,6,mengambil,menambil,VERB,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",5,xcomp,{'MorphInd': '^meN+ambil<v>_VSA$'},Prefiks
train-s190,"Layaknya lagu ""Advance Adventure"" dari GARDEN, di Italia - lah karier dan petualangan Kubica akan tumbuh membesar.",7,dari,dari,ADP,R--,_,8,case,{'MorphInd': '^dari<r>_R--$'},Tidak Berimbuhan
train-s657,Rambut ini menghasilkan bahan berminyak yang lengket sehingga kepik bisa berjalan dan menempel di tempat - tempat sulit seperti di kaca atau di langit - langit.,5,berminyak,berminyak,ADJ,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",4,amod,{'MorphInd': '^ber+minyak<n>_VSA$'},Prefiks
train-s535,"Sebuah stasiun pengisian bahan bakar baru dikonstruksikan di bagian utara pintu masuk bandar udara, di sebelah persimpangan A696. Pekerjaan akan dimulai pada musim panas 2007 Bandar Udara Newcastle terhubung dengan Newcastle (22 menit) dan Sunderland (55 menit) oleh layanan Tyne and Wear Metro.",5,bakar,bakar,NOUN,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",4,compound,{'MorphInd': '^bakar<v>_VSA$'},Tidak Berimbuhan
train-s2639,"Atau pernahkah suatu allah mencoba datang untuk mengambil baginya suatu bangsa dari tengah-tengah bangsa yang lain, dengan cobaan-cobaan, tanda-tanda serta mujizat-mujizat dan peperangan, dengan tangan yang kuat dan lengan yang teracung dan dengan kedahsyatan-kedahsyatan yang besar, seperti yang dilakukan Tuhan, Allahmu, bagimu di Mesir, di depan matamu?",16,lain,lain,ADJ,ASP,"{'Degree': 'Pos', 'Number': 'Sing'}",13,amod,"{'SpaceAfter': 'No', 'MorphInd': '^lain<a>_ASP$'}",Tidak Berimbuhan
train-s4445,"Ketika Aristagoras mengadakan rapat para pemimpin Ionia di Miletos untuk mengatur pemberontakan melawan kekuasaan Persia, Hekataios berusaha menghalangi upaya rekan - rekannya itu.",1,Ketika,ketika,SCONJ,S--,_,3,mark,{'MorphInd': '^ketika<s>_S--$'},Tidak Berimbuhan
train-s2632,Contoh: Sakcingkir ae = satu cangkir saja; Bar ning ndi ae leh?,8,saja,saja,ADV,D--,_,7,advmod,"{'SpaceAfter': 'No', 'MorphInd': '^saja<d>_D--$'}",Tidak Berimbuhan
train-s2036,"Namun Pontus masih akan menjadi penulis lagu untuk Dead by April dan akan bertindak sebagai pemain ""sesi"" di album baru mereka dan di tur mendatang.",21,album,album,NOUN,NSD,{'Number': 'Sing'},16,nmod,{'MorphInd': '^album<n>_NSD$'},Tidak Berimbuhan
train-s3070,"Mereka mulai bermain di klub - klub di New York City di bawah serangkaian nama band yang berbeda, sebelum menetapkan nama ""Kool &amp; The Gang"" pada tahun 1968.",8,di,di,ADP,R--,_,10,case,{'MorphInd': '^di<r>_R--$'},Tidak Berimbuhan
train-s1300,"Rice berkata bahwa masa kecilnya dalam masa perbedaan ras mengajarkannya untuk melawan permusuhan, dan perlunya untuk menjadi “dua kali lebih baik” daripada non - minoritas.",21,kali,kali,NOUN,NSD,{'Number': 'Sing'},18,obj,{'MorphInd': '^kali<n>_NSD$'},Tidak Berimbuhan
train-s71,"Membangun sebuah komunitas memang tidak mudah, tetapi mereka yakin bahwa Rockto dengan konsep yang menarik dapat menarik minat para pengguna internet untuk menjadi bagian dari komunitasnya.",14,konsep,konsep,NOUN,NSD,{'Number': 'Sing'},18,obl,{'MorphInd': '^konsep<n>_NSD$'},Tidak Berimbuhan
train-s2446,"Rune ini dipegang oleh tokoh utama Suikoden II, Riou. Pada akhir permainan, Riou menolak untuk menyerang Jowy dan akhirnya ""kutukan"" Beginning Rune dipatahkan sehingga Jowy dan Riou berhasil selamat.",28,dipatahkan,dipatahkan,VERB,VSP,"{'Number': 'Sing', 'Voice': 'Pass'}",22,conj,{'MorphInd': '^di+patah<a>+kan_VSP$'},Konfiks
train-s2588,"Oleh karena itu, ruang gerak anak tidak boleh dibatasi karena apabila kegiatan seorang anak dibatasi maka itu sama dengan mengikat nalar anaknya karena ia tidak bebas untuk menjelajahi lingkungannya.",6,gerak,gerak,NOUN,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",5,compound,{'MorphInd': '^gerak<v>_VSA$'},Tidak Berimbuhan
train-s412,"Untuk desain tersebut, torsi di kecepatan sinkron relatif tidak terlalu tinggi dan motor dapat bekerja di bawah kecepatan sinkron.",5,torsi,torsi,NOUN,X--,_,12,nsubj:pass,{'MorphInd': '^torsi<x>_X--$'},Tidak Berimbuhan
train-s4135,Sebuah korsel biasanya ditemukan dalam taman bermain atau taman tema (theme park).,12,theme,theme,NOUN,F--,_,10,appos,{'MorphInd': '^theme<f>_F--$'},Tidak Berimbuhan
train-s2417,Struktur tanah merupakan karakteristik fisik tanah yang terbentuk dari komposisi antara agregat (butir) tanah dan ruang antaragregat.,14,butir,butir,NOUN,NSD,{'Number': 'Sing'},12,appos,"{'SpaceAfter': 'No', 'MorphInd': '^butir<n>_NSD$'}",Tidak Berimbuhan
train-s1237,Ia juga mantan anggota tim PON Jatim (PON XVII Kaltim) dan POM ASEAN di Malaysia asuhan Aji Santoso.,16,di,di,ADP,R--,_,17,case,{'MorphInd': '^di<r>_R--$'},Tidak Berimbuhan
train-s2744,"Kontroler USB mempunyai banyak macam bentuk, dari microcontroller berbasis 8051 yang mempunyai input output USB secara langsung sampai pengubah protocol dari serial seperti I2C bus ke USB. USB controller biasanya dijual dengan disertai berbagai fasilitas yang mempermudah pengembangan alat, diantaranya manual yang lengkap, driver untuk windows XP, contoh code aplikasi untuk mengakses USB, contoh code untuk USB controller, dan skema rangkaian elektronikanya.",28,USB,usb,PROPN,F--,_,25,nmod,"{'SpaceAfter': 'No', 'MorphInd': '^usb<f>_F--$'}",Tidak Berimbuhan
train-s4119,"Sampak adalah desa di kecamatan Totikum, Banggai Kepulauan, Sulawesi Tengah, Indonesia.",5,kecamatan,kecamatan,PROPN,NSD,{'Number': 'Sing'},3,nmod,{'MorphInd': '^ke+camat<n>+an_NSD$'},Konfiks
train-s2104,"Liputan khusus Murrow di kemudian hari disebut World News Roundup, dan kini masih mengudara lewat radio - radio yang bergabung dengan CBS Radio Network.",17,radio,radio,PROPN,NSD,{'Number': 'Sing'},15,obl,{'MorphInd': '^radio<n>_NSD$'},Tidak Berimbuhan
train-s4109,"Di dalam sel kelenjar tiroid, residu tirosina pada tiroglobulin teryodiumasi, sehingga tiroglobulin terhidrolisis menjadi pecahan asam aminonya, antara lain menjadi tetra - iodotironin (T4), T3, diiodotirosina (DIT) dan monoiodotirosina (MIT).",9,pada,pada,ADP,R--,_,10,case,{'MorphInd': '^pada<r>_R--$'},Tidak Berimbuhan
train-s3118,"Dretarastra memutuskan untuk memilih Gendari, kenapa yang dipilih Gendari?",2,memutuskan,menputuskan,VERB,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",0,root,{'MorphInd': '^meN+putus<a>+kan_VSA$'},Konfiks
train-s994,"Alga juga menggunakan klorofil, namun memiliki beragam pigmen lainnya, misalnya fikosianin, karoten, dan xantofil pada alga hijau, fikoeritrin pada alga merah (rhodophyta) dan fukoksantin pada alga cokelat dan diatom yang menghasilkan warna yang beragam pula.",35,dan,dan,CCONJ,H--,_,36,cc,{'MorphInd': '^dan<h>_H--$'},Tidak Berimbuhan
train-s2333,Hal ini memungkinan seseorang dengan komputer dengan kartu nirkabel wireless card atau personal digital assistant (PDA) untuk terhubung dengan internet dengan menggunakan titik akses (atau dikenal dengan hotspot) terdekat.,29,dikenal,dikenal,VERB,VSP,"{'Number': 'Sing', 'Voice': 'Pass'}",28,acl,{'MorphInd': '^di+kenal<v>_VSP$'},Prefiks
