sent_id,teks,token_id,token,lemma,upos,xpos,feats,head,deprel,misc,negasi_scope
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",12,miliknya,milik,NOUN,VSA+PS3,"{'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3', 'Voice': 'Act'}",10,compound,{'MorphInd': '^milik<v>_VSA+dia<p>_PS3$'},Out_Scope
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",13,yang,yang,PRON,S--,{'PronType': 'Rel'},14,obj,{'MorphInd': '^yang<s>_S--$'},Out_Scope
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",14,ditinggalkan,ditinggalkan,VERB,VSP,"{'Number': 'Sing', 'Voice': 'Pass'}",10,acl,{'MorphInd': '^di+tinggal<v>+kan_VSP$'},Out_Scope
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",15,di,di,ADP,R--,-,16,case,{'MorphInd': '^di<r>_R--$'},Out_Scope
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",16,tepi,tepi,NOUN,NSD,{'Number': 'Sing'},14,obl,{'MorphInd': '^tepi<n>_NSD$'},Out_Scope
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",17,sungai,sungai,NOUN,NSD,{'Number': 'Sing'},16,compound,"{'SpaceAfter': 'No', 'MorphInd': '^sungai<n>_NSD$'}",Out_Scope
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",19,akibatnya,akibat,SCONJ,NSD+PS3,"{'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",23,mark,{'MorphInd': '^akibat<n>_NSD+dia<p>_PS3$'},In_Scope
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",20,Zhinu,zhinu,PROPN,X--,-,23,nsubj,{'MorphInd': '^zhinu<x>_X--$'},In_Scope
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",21,tidak,tidak,PART,G--,{'Polarity': 'Neg'},23,advmod,{'MorphInd': '^tidak<g>_G--$'},Kata Negasi
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",22,dapat,dapat,ADV,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",23,advmod,{'MorphInd': '^dapat<v>_VSA$'},In_Scope
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",23,kembali,kembali,VERB,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",3,advcl,{'MorphInd': '^kembali<v>_VSA$'},In_Scope
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",24,ke,ke,ADP,R--,-,25,case,{'MorphInd': '^ke<r>_R--$'},In_Scope
train-s1017,"Niu Lang jatuh cinta pada pandangan pertama kemudian mencuri jubah ajaib miliknya yang ditinggalkan di tepi sungai, akibatnya Zhinu tidak dapat kembali ke surga.",25,surga,surga,NOUN,NSD,{'Number': 'Sing'},23,obl,"{'SpaceAfter': 'No', 'MorphInd': '^surga<n>_NSD$'}",In_Scope
train-s1026,Tetapi jika suatu perangkat hanya mendukung port untuk microSD saja maka miniSDHC tidak bisa digunakan didalamnya.,1,Tetapi,tetapi,SCONJ,S--,-,6,mark,{'MorphInd': '^tetapi<s>_S--$'},Out_Scope
train-s1026,Tetapi jika suatu perangkat hanya mendukung port untuk microSD saja maka miniSDHC tidak bisa digunakan didalamnya.,2,jika,jika,SCONJ,S--,-,6,mark,{'MorphInd': '^jika<s>_S--$'},Out_Scope
train-s1026,Tetapi jika suatu perangkat hanya mendukung port untuk microSD saja maka miniSDHC tidak bisa digunakan didalamnya.,3,suatu,suatu,DET,B--,{'PronType': 'Ind'},4,det,{'MorphInd': '^suatu<b>_B--$'},Out_Scope
train-s1026,Tetapi jika suatu perangkat hanya mendukung port untuk microSD saja maka miniSDHC tidak bisa digunakan didalamnya.,4,perangkat,perangkat,NOUN,NSD,{'Number': 'Sing'},6,nsubj,{'MorphInd': '^perangkat<n>_NSD$'},Out_Scope
train-s1026,Tetapi jika suatu perangkat hanya mendukung port untuk microSD saja maka miniSDHC tidak bisa digunakan didalamnya.,5,hanya,hanya,ADV,D--,-,6,advmod,{'MorphInd': '^hanya<d>_D--$'},Out_Scope
train-s1026,Tetapi jika suatu perangkat hanya mendukung port untuk microSD saja maka miniSDHC tidak bisa digunakan didalamnya.,6,mendukung,mendukung,VERB,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",0,root,{'MorphInd': '^meN+dukung<v>_VSA$'},Out_Scope
train-s1026,Tetapi jika suatu perangkat hanya mendukung port untuk microSD saja maka miniSDHC tidak bisa digunakan didalamnya.,7,port,port,NOUN,F--,-,6,obj,{'MorphInd': '^port<f>_F--$'},Out_Scope
train-s1026,Tetapi jika suatu perangkat hanya mendukung port untuk microSD saja maka miniSDHC tidak bisa digunakan didalamnya.,8,untuk,untuk,ADP,R--,-,9,case,{'MorphInd': '^untuk<r>_R--$'},Out_Scope
train-s1026,Tetapi jika suatu perangkat hanya mendukung port untuk microSD saja maka miniSDHC tidak bisa digunakan didalamnya.,9,microSD,microsd,PROPN,X--,-,7,nmod,{'MorphInd': '^microsd<x>_X--$'},Out_Scope
train-s1026,Tetapi jika suatu perangkat hanya mendukung port untuk microSD saja maka miniSDHC tidak bisa digunakan didalamnya.,10,saja,saja,ADV,D--,-,9,advmod,{'MorphInd': '^saja<d>_D--$'},Out_Scope
train-s1026,Tetapi jika suatu perangkat hanya mendukung port untuk microSD saja maka miniSDHC tidak bisa digunakan didalamnya.,11,maka,maka,SCONJ,S--,-,15,mark,{'MorphInd': '^maka<s>_S--$'},In_Scope
train-s1026,Tetapi jika suatu perangkat hanya mendukung port untuk microSD saja maka miniSDHC tidak bisa digunakan didalamnya.,12,miniSDHC,minisdhc,PROPN,X--,-,15,nsubj:pass,{'MorphInd': '^minisdhc<x>_X--$'},In_Scope
train-s1026,Tetapi jika suatu perangkat hanya mendukung port untuk microSD saja maka miniSDHC tidak bisa digunakan didalamnya.,13,tidak,tidak,PART,G--,{'Polarity': 'Neg'},15,advmod,{'MorphInd': '^tidak<g>_G--$'},Kata Negasi
train-s1026,Tetapi jika suatu perangkat hanya mendukung port untuk microSD saja maka miniSDHC tidak bisa digunakan didalamnya.,14,bisa,bisa,ADV,M--,-,15,advmod,{'MorphInd': '^bisa<m>_M--$'},In_Scope
train-s1026,Tetapi jika suatu perangkat hanya mendukung port untuk microSD saja maka miniSDHC tidak bisa digunakan didalamnya.,15,digunakan,digunakan,VERB,VSP,"{'Number': 'Sing', 'Voice': 'Pass'}",6,advcl,{'MorphInd': '^di+guna<n>+kan_VSP$'},In_Scope
train-s1026,Tetapi jika suatu perangkat hanya mendukung port untuk microSD saja maka miniSDHC tidak bisa digunakan didalamnya.,16,didalamnya,didalam,ADP,VSP+PS3,"{'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3', 'Voice': 'Pass'}",15,case,"{'SpaceAfter': 'No', 'MorphInd': '^di+dalam<a>_VSP+dia<p>_PS3$'}",In_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",1,Tetapi,tetapi,CCONJ,S--,-,4,cc,{'MorphInd': '^tetapi<s>_S--$'},In_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",2,karena,karena,SCONJ,S--,-,4,mark,{'MorphInd': '^karena<s>_S--$'},In_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",3,tidak,tidak,PART,G--,{'Polarity': 'Neg'},4,advmod,{'MorphInd': '^tidak<g>_G--$'},Kata Negasi
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",4,dikelola,dikelola,VERB,VSP,"{'Number': 'Sing', 'Voice': 'Pass'}",19,advcl,{'MorphInd': '^di+kelola<v>_VSP$'},In_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",5,oleh,oleh,ADP,R--,-,6,case,{'MorphInd': '^oleh<r>_R--$'},In_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",6,manajer,manajer,NOUN,NSD,{'Number': 'Sing'},4,obl,{'MorphInd': '^manajer<n>_NSD$'},In_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",7,profesional,profesional,ADJ,ASP,"{'Degree': 'Pos', 'Number': 'Sing'}",6,amod,{'MorphInd': '^profesional<a>_ASP$'},In_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",8,dan,dan,CCONJ,H--,-,12,cc,{'MorphInd': '^dan<h>_H--$'},In_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",9,terlalu,terlalu,ADV,D--,-,12,advmod,{'MorphInd': '^terlalu<d>_D--$'},In_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",10,banyaknya,banyak,ADV,ASP+PS3,"{'Degree': 'Pos', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person[psor]': '3'}",12,advmod,{'MorphInd': '^banyak<a>_ASP+dia<p>_PS3$'},In_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",12,politisasi,politisasi,NOUN,X--,-,4,conj,"{'SpaceAfter': 'No', 'MorphInd': '^politisasi<x>_X--$'}",In_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",13,',_,NOUN,,-,12,compound,-,In_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",14,atau,atau,CCONJ,H--,-,15,cc,{'MorphInd': '^atau<h>_H--$'},In_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",15,campur,campur,NOUN,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",12,conj,{'MorphInd': '^campur<v>_VSA$'},In_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",16,tangan,tangan,NOUN,NSD,{'Number': 'Sing'},15,compound,{'MorphInd': '^tangan<n>_NSD$'},In_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",17,pemerintah,penperintah,NOUN,NSD,{'Number': 'Sing'},16,compound,"{'SpaceAfter': 'No', 'MorphInd': '^peN+perintah<n>_NSD$'}",In_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",19,mengakibatkan,menakibatkan,VERB,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",0,root,{'MorphInd': '^meN+akibat<n>+kan_VSA$'},Out_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",20,perusahaan,perusahaan,NOUN,NSD,{'Number': 'Sing'},23,nsubj:pass,{'MorphInd': '^per+usaha<n>+an_NSD$'},Out_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",21,tersebut,tersebut,DET,B--,{'PronType': 'Dem'},20,det,{'MorphInd': '^tersebut<b>_B--$'},Out_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",22,hanya,hanya,ADV,D--,-,23,advmod,{'MorphInd': '^hanya<d>_D--$'},Out_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",23,dijadikan,dijadikan,VERB,VSP,"{'Number': 'Sing', 'Voice': 'Pass'}",19,ccomp,{'MorphInd': '^di+jadi<a>+kan_VSP$'},Out_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",25,sapi,sapi,NOUN,NSD,{'Number': 'Sing'},23,compound,{'MorphInd': '^sapi<n>_NSD$'},Out_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",26,perah,perah,NOUN,X--,-,25,compound,"{'SpaceAfter': 'No', 'MorphInd': '^perah<x>_X--$'}",Out_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",28,oleh,oleh,ADP,R--,-,30,case,{'MorphInd': '^oleh<r>_R--$'},Out_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",29,para,para,DET,B--,{'PronType': 'Dem'},30,det,{'MorphInd': '^para<b>_B--$'},Out_Scope
train-s1035,"Tetapi karena tidak dikelola oleh manajer profesional dan terlalu banyaknya 'politisasi' atau campur tangan pemerintah, mengakibatkan perusahaan tersebut hanya dijadikan 'sapi perah' oleh para birokrat.",30,birokrat,birokrat,NOUN,X--,-,23,obl,"{'SpaceAfter': 'No', 'MorphInd': '^birokrat<x>_X--$'}",Out_Scope
train-s1045,"Setelah pertarungan ini, Ichigo dan Kenpachi tidak bisa bergerak lagi karena terluka amat parah.",1,Setelah,setelah,ADP,R--,-,2,case,{'MorphInd': '^setelah<r>_R--$'},In_Scope
train-s1045,"Setelah pertarungan ini, Ichigo dan Kenpachi tidak bisa bergerak lagi karena terluka amat parah.",2,pertarungan,pertarungan,NOUN,NSD,{'Number': 'Sing'},10,obl,{'MorphInd': '^per+tarung<v>+an_NSD$'},In_Scope
train-s1045,"Setelah pertarungan ini, Ichigo dan Kenpachi tidak bisa bergerak lagi karena terluka amat parah.",3,ini,ini,DET,B--,{'PronType': 'Dem'},2,det,"{'SpaceAfter': 'No', 'MorphInd': '^ini<b>_B--$'}",In_Scope
train-s1045,"Setelah pertarungan ini, Ichigo dan Kenpachi tidak bisa bergerak lagi karena terluka amat parah.",5,Ichigo,ichigo,PROPN,X--,-,10,nsubj,{'MorphInd': '^ichigo<x>_X--$'},In_Scope
train-s1045,"Setelah pertarungan ini, Ichigo dan Kenpachi tidak bisa bergerak lagi karena terluka amat parah.",6,dan,dan,CCONJ,H--,-,7,cc,{'MorphInd': '^dan<h>_H--$'},In_Scope
train-s1045,"Setelah pertarungan ini, Ichigo dan Kenpachi tidak bisa bergerak lagi karena terluka amat parah.",7,Kenpachi,kenpachi,PROPN,X--,-,5,conj,{'MorphInd': '^kenpachi<x>_X--$'},In_Scope
train-s1045,"Setelah pertarungan ini, Ichigo dan Kenpachi tidak bisa bergerak lagi karena terluka amat parah.",8,tidak,tidak,PART,G--,{'Polarity': 'Neg'},10,advmod,{'MorphInd': '^tidak<g>_G--$'},Kata Negasi
train-s1045,"Setelah pertarungan ini, Ichigo dan Kenpachi tidak bisa bergerak lagi karena terluka amat parah.",9,bisa,bisa,ADV,M--,-,10,advmod,{'MorphInd': '^bisa<m>_M--$'},In_Scope
train-s1045,"Setelah pertarungan ini, Ichigo dan Kenpachi tidak bisa bergerak lagi karena terluka amat parah.",10,bergerak,bergerak,VERB,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",0,root,{'MorphInd': '^ber+gerak<v>_VSA$'},In_Scope
train-s1045,"Setelah pertarungan ini, Ichigo dan Kenpachi tidak bisa bergerak lagi karena terluka amat parah.",11,lagi,lagi,ADV,D--,-,10,advmod,{'MorphInd': '^lagi<d>_D--$'},In_Scope
train-s1045,"Setelah pertarungan ini, Ichigo dan Kenpachi tidak bisa bergerak lagi karena terluka amat parah.",12,karena,karena,SCONJ,S--,-,13,mark,{'MorphInd': '^karena<s>_S--$'},In_Scope
train-s1045,"Setelah pertarungan ini, Ichigo dan Kenpachi tidak bisa bergerak lagi karena terluka amat parah.",13,terluka,terluka,VERB,VSP,"{'Number': 'Sing', 'Voice': 'Pass'}",10,advcl,{'MorphInd': '^ter+luka<n>_VSP$'},In_Scope
train-s1045,"Setelah pertarungan ini, Ichigo dan Kenpachi tidak bisa bergerak lagi karena terluka amat parah.",14,amat,amat,ADV,D--,-,15,advmod,{'MorphInd': '^amat<d>_D--$'},In_Scope
train-s1045,"Setelah pertarungan ini, Ichigo dan Kenpachi tidak bisa bergerak lagi karena terluka amat parah.",15,parah,parah,ADJ,ASP,"{'Degree': 'Pos', 'Number': 'Sing'}",13,amod,"{'SpaceAfter': 'No', 'MorphInd': '^parah<a>_ASP$'}",In_Scope
train-s105,"Mengagumi Yukari, dan perlahan jatuh cinta pada sang direktur VB Rose, tak peduli walaupun Yukari sering sekali melakukan KDRT. Pemilik sekaligus desainer di VB Rose. Orang yang satu ini sangat dingin.",1,Mengagumi,menkagumi,VERB,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",6,advcl,{'MorphInd': '^meN+kagum<a>+i_VSA$'},Out_Scope
train-s105,"Mengagumi Yukari, dan perlahan jatuh cinta pada sang direktur VB Rose, tak peduli walaupun Yukari sering sekali melakukan KDRT. Pemilik sekaligus desainer di VB Rose. Orang yang satu ini sangat dingin.",2,Yukari,yukari,PROPN,X--,-,1,obj,"{'SpaceAfter': 'No', 'MorphInd': '^yukari<x>_X--$'}",Out_Scope
train-s105,"Mengagumi Yukari, dan perlahan jatuh cinta pada sang direktur VB Rose, tak peduli walaupun Yukari sering sekali melakukan KDRT. Pemilik sekaligus desainer di VB Rose. Orang yang satu ini sangat dingin.",4,dan,dan,CCONJ,H--,-,1,cc,{'MorphInd': '^dan<h>_H--$'},Out_Scope
train-s105,"Mengagumi Yukari, dan perlahan jatuh cinta pada sang direktur VB Rose, tak peduli walaupun Yukari sering sekali melakukan KDRT. Pemilik sekaligus desainer di VB Rose. Orang yang satu ini sangat dingin.",5,perlahan,perlahan,ADV,D--,-,6,advmod,{'MorphInd': '^perlahan<d>_D--$'},Out_Scope
train-s105,"Mengagumi Yukari, dan perlahan jatuh cinta pada sang direktur VB Rose, tak peduli walaupun Yukari sering sekali melakukan KDRT. Pemilik sekaligus desainer di VB Rose. Orang yang satu ini sangat dingin.",6,jatuh,jatuh,VERB,VSA,"{'Number': 'Sing', 'Voice': 'Act'}",0,root,{'MorphInd': '^jatuh<v>_VSA$'},Out_Scope
train-s105,"Mengagumi Yukari, dan perlahan jatuh cinta pada sang direktur VB Rose, tak peduli walaupun Yukari sering sekali melakukan KDRT. Pemilik sekaligus desainer di VB Rose. Orang yang satu ini sangat dingin.",7,cinta,cinta,NOUN,NSD,{'Number': 'Sing'},6,obj,{'MorphInd': '^cinta<n>_NSD$'},Out_Scope
train-s105,"Mengagumi Yukari, dan perlahan jatuh cinta pada sang direktur VB Rose, tak peduli walaupun Yukari sering sekali melakukan KDRT. Pemilik sekaligus desainer di VB Rose. Orang yang satu ini sangat dingin.",8,pada,pada,ADP,R--,-,10,case,{'MorphInd': '^pada<r>_R--$'},Out_Scope
train-s105,"Mengagumi Yukari, dan perlahan jatuh cinta pada sang direktur VB Rose, tak peduli walaupun Yukari sering sekali melakukan KDRT. Pemilik sekaligus desainer di VB Rose. Orang yang satu ini sangat dingin.",9,sang,sang,DET,F--,-,10,det,{'MorphInd': '^sang<f>_F--$'},Out_Scope
train-s105,"Mengagumi Yukari, dan perlahan jatuh cinta pada sang direktur VB Rose, tak peduli walaupun Yukari sering sekali melakukan KDRT. Pemilik sekaligus desainer di VB Rose. Orang yang satu ini sangat dingin.",10,direktur,direktur,NOUN,NSD,{'Number': 'Sing'},6,obl,{'MorphInd': '^direktur<n>_NSD$'},Out_Scope
train-s105,"Mengagumi Yukari, dan perlahan jatuh cinta pada sang direktur VB Rose, tak peduli walaupun Yukari sering sekali melakukan KDRT. Pemilik sekaligus desainer di VB Rose. Orang yang satu ini sangat dingin.",11,VB,vb,PROPN,X--,-,10,flat,{'MorphInd': '^vb<x>_X--$'},Out_Scope
train-s105,"Mengagumi Yukari, dan perlahan jatuh cinta pada sang direktur VB Rose, tak peduli walaupun Yukari sering sekali melakukan KDRT. Pemilik sekaligus desainer di VB Rose. Orang yang satu ini sangat dingin.",12,Rose,rose,PROPN,F--,-,11,flat,"{'SpaceAfter': 'No', 'MorphInd': '^rose<f>_F--$'}",Out_Scope
